concurrency level,scatter,process,gather
4,1,1,1
9,2.424997819,1.996947265,0.765798687
16,2.820393124,3.946551858,0.794477869
25,2.874150796,5.329126149,0.72704924
36,2.414706197,6.654360934,0.69424323
49,2.467360054,11.16570169,0.663714229
64,2.4203517,11.04138519,0.637594081
81,2.426675443,10.89185069,0.682129599
