concurrency level,scatter,process,gather
4,1,1,1
9,0.945750796,2.238675754,1.125626585
16,0.981089515,3.804293138,1.029980414
25,0.939766974,4.194452654,1.009177363
36,1.082945102,8.22809104,1.093656698
49,1.024486983,10.85636107,1.043467974
64,0.990823814,13.33684337,1.079307329
81,1.117865025,11.69774913,0.994713243
